,,Notes,PDG Archive,PDG Rust,PDG Snow,PDG Detritus
,Script ID,,CEO_Grass,CEO_Sand,CEO_Snow,CEO_Acid
,Region_Names,,"""Apparts d'Archive"", ""Comté Historique"", ""Vallée Protégée"", ""Collines Oubliées"", ""Musées du Centre"", ""District Martial"", ""Vieille Ville"", ""Chambres Fortes"", ""Archives Secondaires"", ""Point du Souvenir"", ""Parc Colonial"", ""OhmVille"", ""Parc de l'Ancienne Terre"", ""Bibliothèque"", ""Expositions d'Archive"", ""Entrepôt d'Accord"", ""Hall de l'Histoire"", ""Parc de la Retrospection"", ""Reliques Préservées"", ""Pâturage"", ""Fermes Préservées"", ""Centre de Restoration"", ""Centre de Recherches"", ""Stockages des Artéfacts"", ""Complexe de Renovation"", ""Hall de l'Archiviste"", ""Antiquité"", ""Site d'Excavation""","""Roche Noire"", ""Parc du Phoénix"", ""Lone Mesa"", ""District Rouillé"", ""Schiste Argileux"", ""Comté Purifiée"", ""Plateau du Renard"",""Crête Mercury"", ""Sables Rouges"", ""Crête du Jugement Dernier"", ""Point de l'Apocalypse"", ""Champs du Tonerre"", ""Parc des Detonations"", ""Terrains Découverts"",""Apparts d'Érosion"", ""Site Tectonique 3.1"", ""Sierra Quadrant"", ""Site d'Essai Delta"",""Site d'Essai Echo"", ""Division QA"", ""Attrape-Lumière"", ""Terre Brûlée"", ""Côte du Rasoir"", ""Baie du Rasoir"", ""Baie du Cratère"", ""Bunker Soufflant"", ""Zone Beta"",""Baie des Detonations"",""Terre Nouvelle"",""Vallée Poussiéreuse"",""Dunes Rouillées"", ""Site d'Essai D-CM"",""Point Rustique"",""Folie de Kern"",""Cicatrice"", ""Tranchée Gamma"",""Station Géothermale"",""Zone Restreinte"",""Cluster de Turbines"",""Bunkers Maglev"",""Point Lumineux"",""Champs Tesla"",""Apparts de Désintegration"",""Coin de Paradis"",""Jardin Soufflant"",""Zone d'Entrainement R.S.T."", ""Périmètre R.S.T."", ""Clôture Sismique R.S.T."", ""Puits de Turbines"", ""Moulin à Vent"",""La Brume"",""Plage Rouillée"",""Station de Mesure Météo"",""Sommet des Tempêtes"", ""Fendu"", ""La Faille"", ""Champ Dead Bird"", ""Parc à Ferrailles"",","""Plaines Glacées"", ""Forêt Glacée"", ""Processeur Central"", ""Stockage Glacé"", ""Réparations Robotiques"", ""Refroidissement Secondaire"", ""Bassin Sans Vie"", ""Zone d'Entrainement des I.A."", ""Laboratoires Cryogéniques"", ""Plaines de Silicates"", ""La Toundra"", ""Rayon Sub-Zero"", ""Central Cryogénique"", ""Caveau Blindé"", ""District Z-1001"", ""District Z-1101"", ""Jardin de Pinnacle"", ""Falaise Glacière"", ""Champ Venteux"", ""Amortisseurs Thermiques"",","""Les Terres Désolées"", ""Centre Ville"", ""Zone de Récupération"", ""Retraitement"", ""Tas de Ferrailles"", ""Centre Venteux"", ""Centre de Teleportation"", ""Champs Venteux"", ""Chambres de Déchets"", ""Chambres d'Évacuation"", ""Champs Chimiques A"", ""Site d'Évacuation C"", ""La Décharge"", ""Le Tas"", ""Nano-Silos"", ""Fermes de Nanites"", ""Zone de Confinement D"", ""Zone de Confinement J"", ""Station de Pompage"","
,Island_Perfect,"Used when the player does not fail a single objective on the island. They get a free reward
","""Vous avez accompli toutes les missions pour Archive, un accomplissement impressionnant ! Acceptez vous et #squad tous nos remerciements."",","""Vous avez terminé chaque mission pour R.S.T. malgré nos maigres chances. Vous avez gagné mon respect, #squad - et voici tout ce que nous pouvons offrir."",","""Vous avez sauvé Pinnacle, accomplissant chaque objectif sans faute. Permettez-moi de vous fournir une aide supplémentaire."",","""#squad, j'ai le plaisir de vous informer que votre taux de réussite est de 100%. Le règlement intérieur Détritus dicte que vous avez gagné un bonus."", 

""Détritus a un plan bonus agressif pour l'excellence dans la performance, Commandant. Vous et #squad le méritent."", 

""Grâce à vos efforts, Commandant, notre ratio succès/échec s'est inversé. Permettez à Détritus de partager les fruits de ce succès avec vous."","
,Welcome_Message,"Used upon arrival to the island.
","""La mauvaise nouvelle est que les Veks envahissent notre île, mettant en péril les réfugiés et les artefacts historiques. La bonne nouvelle est que nous avons des artefacts militaires de l'Ancienne Terre qui peuvent vous aider dans la lutte !"",
 
""Nous faisons tout ce qui est entre notre pouvoir pour protéger les réfugiés, mais nous avons besoin de votre aide contre les Veks. Nous vous aiderons avec certains de nos artefacts de l'Ancienne Terre si nous le pouvons."",
 
""Si vous venez du futur, sachez que notre île est beaucoup plus ancienne qu'elle n'en a l'air. S'il n'y avait pas eu l'invasion Vek, J'aurais aimé vous faire visiter les reliques de l'Ancienne Terre."",

""Vous avez montré que vous étiez dans l'air du temps ! Les Veks envahissent Archive. Les reliques de l'Ancienne Terre s'y trouvant sont encore opérationnelles et pourraient bien nous être utiles."",

""Les civilisations du passé avaient une force militaire qui dépassait largement la nôtre. Heureusement que nous avons conservé certaines de leurs vieilles machines de guerre !"",
","""Mes conseillers insistent sur le fait que nous perdons le combat. Ils insistent également pour que je vous fasse confiance. Et puisque ces lâches insistent rarement pour que je fasse quelque chose, je vous donne une chance de faire vos preuves."",

""Ne pensez pas un instant que je vous crois avec avec vos histoires de 'Voyageur Temporel', mais vos Mechs - sont indéniablement impressionnants."",

""Vous ne me trouverez pas aussi crédule que mes chefs de département. Quelque soit l'absurdité de votre histoire de 'Voyageur Temporel', c'est votre puissance de feu dont nous avons besoin."",

""Reportons la discussion sur le où et comment vous avez obtenu cet armement du moment que vous l'utilisez pour nous défendre."",

""R.S.T. ne voulait pas vous demander de l'aide, cela était considéré comme une faiblesse. Mais le choix est simple : soit nous nous allions avec vous, soit nous perdons l'Île."",
","""J'espère que vous pourrez respecter les deux formes de vie sur cette île, organique et mécanique."",

""Les humains employés chez Pinnacle sont tout aussi importants que nos machines douées de conscience. Nous devons arrêter les Veks pour sauver tout type de vie."",

""Au nom de Pinnacle, je vous souhaite la bienvenue. Le climat sur notre île n'est pas idéal pour les humains, mais les basses températures sont vitales pour que les machines prospèrent."",","""J'ai entendu parler de vos victoires contre les Veks, Commandant. Nous espérons que vous et #squad pourrez nous aider dans notre combat."", 

""Nos logements sont spartiates, Commandant, mais vous et #squad sont les bienvenus ici. Pour citer notre devise, 'Détritus est à votre disposition'."",

""Notre île était autrefois l'une des centaines de sites de décharge de Détritus. Puis les Veks sont venus. Avec votre arrivée, Détritus a regagné de l'espoir."",

""Quand les Veks sont venus, Detritus a accueilli autant de réfugiés que possible. Ce qui nous manque cruellement, c'est votre expertise militaire, Commandant."","
,,,,,,
,Mission_ExtremeDamage,"If *any* mission results in extreme structure damage (4+ buildings?), these comments will trigger instead of standard mission comments","""Les mers montantes ont détruit la majeure partie de notre monde, mais il semble que ce soit les Veks qui nous finissent. Tant de vies ont été perdues pendant cette mission - nous ne pouvons pas laisser cela se reproduire !"", 

""Les dégâts structurels subis pendant cette bataille étaient coûteux. Nous avons perdu des résultats de recherches irremplaçables et des artefacts inestimables."", 

""Si chaque bataille contre les Veks cause autant de dégâts, je ne pense pas qu'il restera beaucoup de l'Île Archive pour aider à la guerre."",","""J'ai vu les rapports de pertes de votre mission. Les pertes... étaient considérables. Mais pas insupportable."",

""Mon équipe rapporte que vos attaques nous blessent plus que les Veks - mais continuez à les marteler, quel qu'en soit le prix."",

""J'ai renvoyé mes conseillers après qu'ils se soient insurgés face aux dégâts collatéraux de cette mission. La guerre signifie que les gens meurent - c'est ça ou nous perdons la planète."", 

""Il y a eu beaucoup de morts aujourd'hui - voire trop même. Mais les fins justifient les moyens surtout quand vous voyez la fin arriver vers vous."",

""Tant de pertes civiles durant la dernière bataille - c'est mieux que de perdre la planète. Nous devons tous faire des sacrifices."",

""Mon peuple comprend que ce sacrifice n'est pas vain. Nous devons maintenir la pression, sinon tout le monde mourra."",","""Des centaines ont péri dans cette attaque. Chaque être unique que le monde ne verra plus jamais."",

""Nous avons perdu beaucoup aujourd'hui, humains et machines. Nous verrons si Pinnacle peut récupérer de cette attaque."",

""D'autres lignes temporelles peuvent exister pour vous, mais c'est la seule que nous ayons. S'il vous plaît, combattez pour nous comme si votre vie en dépendait.""","""Nous ne pouvons pas perdre autant de vies dans une seule bataille, Commandant. Détritus, ce n'est pas qu'une île, ce n'est pas qu'une entreprise - c'est un peuple."",

""Des accidents peuvent arriver - nous à Détritus, nous le savons que trop bien - mais il y aurait-il une autre approche qui donnerait de meilleurs résultats ?"",

""Des accidents peuvent arriver, mais cela nous rappelle que nous devons faire mieux, surtout quand des vies sont en jeu - et encore plus quand des vies sont perdues."",

""J'ai vu les rapports de pertes et je contacte personnellement les familles survivantes."",

""Je sais que vous en faites beaucoup, mais je vous demanderais de ne pas faire payer notre peuple à la place des Veks."",

""Détritus n'est rien sans son peuple, Commandant. Je vous exhorte, ainsi que #squad, de donner la priorité aux citoyens."",

""Les dégâts dans la région étaient... considérables. Je sais que mes... sentiments pourraient nous coûter la guerre mais je vous supplie de faire ce que vous pouvez pour sauver notre peuple."","
,,,,,,
Generic Missions,Mission_Generic_Briefing,Missions without anything unique happening could pull from the generic pools,"""La technologie du futur protégeant la technologie du passé telle une boucle poétique et temporelle... Espérons que le futur est à la hauteur de sa tâche."", 

""Une grande partie de l'Ancienne Terre et de son histoire a été perdue lorsque les océans ont tout submergé. Nous devons protéger le peu qui reste. Si les Veks nous détruisent, ces objets seront tout ce qui reste de notre civilisation."", 

""Les réfugiés qui vivaient dans les villes préservées du XXIème siècle n'étaient pas ce que les fondateurs de l'Île Archives, mais nous devons abriter tout le monde du mieux que nous pouvons."", 

""Il y a des coffres contenant des reliques de l'Ancienne Terre enterrés sous cette région, nous devons chasser les Veks avant qu'ils ne les endommagent !"", 

""Avec la majeure partie de l'Ancienne Terre sous l'eau, nous devons défendre le peu qu'il reste. L'Île Archives a protégé ces bâtiments pendant des décennies, mais nous comptons sur vous maintenant."",
","""Notre Île a beaucoup souffert lorsque nous avons utilisé notre technologie de Terraformation contre les Veks. Pourtant, nous devons défendre ce qu'il en reste."",

""Les civils dans ces bâtiments sont forts, mais pas invincibles. Assurez-vous à ce qu'ils survivent à ce combat."",

""Broyer les Veks dans la saleté dans laquelle ils se reproduisent. Si votre histoire sur votre voyage dans le futur est vraie, ils doivent être arrêtés ici et maintenant."",","""Je surveille simultanément 84 micro-incursions souterraines Veks. Vous devrez gérer celle-ci par vous-même."",

""Trois sous-routines sur cinq vous donnent une faible chance de succès dans cette mission. S'il vous plait faites attention."",

""Avec la fonte de l'île et la vie artificielle devenant folle, vous et vos Mechs représentent leur seule chance de survie."", 

""Nos bâtiments résidentiels sont pleins des deux formes de vie biologique et artificielle. La survie de deux espèces dépend de vous."",","""Vous devez faire pression, Commandant. Détritus fera tout son possible pour vous aider ici."",

""Faites comme vous pouvez, Commandant - les Veks doivent être repoussés et notre peuple protégé."",

""Sachez que vous et #squad êtes notre dernier rempart contre les Veks, Commandant. Nous avons foi en vous"",

""J'ai foi en vous et #squad, Commandant. Sachez que tout Détritus est avec vous."","
,Mission_Generic_Success,Missions that pull from the generic objectives have a small chance of using this set,"""Il y a beaucoup d'espace inutilisé dans les réserves naturelles de cette région. Nous allons commencer à déplacer les réfugiés ici, maintenant que les Veks sont partis."", 

""Les Veks n'ont pas été vaincus facilement, pourtant vous les avez mis à terre avec brio. Mes compliments aux pilotes."", 

""Les troupes de l'Ancienne Terre auraient été fières ! Si seulement elles avaient été là pour voir ça..."", 

""La région étant sécurisée, nous pouvons ouvrir tranquillement les coffres. Voyons quelle autre relique de l'Ancienne Terre nous pourrons utiliser contre les Veks !"",
","""C'est l'esprit qu'il faut si nous voulons gagner ce combat. Bon travail, à la fois vous et l'escoude... #squad."",

""Excellent, vous avez gagné du terrain - nous le conserverons à présent, vous et votre escouade, continuez d'avancer."",

""Nous ne pensions pas être capable de repousser les Veks - d'où que vous veniez, j'espère qu'il y en à d'autre comme vous qui sont en route."",

""J'ai lu les rapports sur les pertes, et j'ai le plaisir d'annoncer que les Veks sont dans le percentile supérieur."",

""La région est sécurisée. Déployez des troupes pour maintenir la zone avant que les conditions météorologiques ne changent."",
","""Vous et #squad avez repoussé les Veks. Nos chances de survie ont augmenté grâce à cette bataille."",

""Des victoires supplémentaires de ce type augmenteront considérablement nos chances de survie."",

""Excellentes nouvelles : Mon sous-processus de pronostic a considérablement prédit l'augmentation de nos chances de survie grâce à votre victoire."",","""Bien joué, #squad ! Les bonnes nouvelles sont rares ces jours-ci, mais vos efforts ici ont changé cela."",

""Vous les avez repoussés, Commandant ! Cela nous a donné plus de temps pour renforcer les défenses de Détritus."",

""Je suis conscient que mes remerciements sont une bien maigre récompense, mais tout Détritus est reconnaissant pour ce que vous et #squad avez fait ici aujourd'hui."",

""Ma foi en vous n'était pas déplacée, Commandant. Vous avez la gratitude de Détritus."",

""Avec le succès de l'escouade #squad sur le terrain, j'ai pu concentrer mes efforts sur les usines et sur les Veks partout ailleurs sur Détritus !"","
,Mission_Generic_Failure,Are we going to use these? They aren't currently used,"""Eh bien maintenant, hmmm... cela aurait pu mieux se passer pour tout le monde. Espérons que la prochaine bataille aura plus de succès."",

""Sans votre aide, l'humanité rejoindra l'Ancienne Terre et sera qu'une chose du passé. Mais nous ne pouvons pas laisser cette mission être la norme, nous devons faire mieux !"",","
""Et vous me dîtes que vous ferez mieux la prochaine fois ? Ne laissez pas l'ennemi gagner plus de terrain. Je ne devrais pas avoir besoin de vous dire ça !"",

""Nous n'avons nulle part où se retirer. Si vous pensez que nous pouvons courir, vous avez tort. C'est tout ce que nous avons."",

""Votre meilleur niveau n'est pas suffisant. Nous avons avons de beaucoup plus."",

""Si vous ne pouvez pas utiliser vos armes pour gagner ce combat, alors donnez-les à quelqu'un qui le peut."",
","""Au moins, vous avez réussi à sauver quelques vies dans la région, même si vous n'avez rien fait d'autre."",

""Nos objectifs n'ont pas été atteints. Recalculons nos chances de mettre en place une défense réussie."",","""Je suis reconnaissant pour vos efforts, Commandant... même si les résultats n'étaient pas ceux que nous espérions."",

""Aujourd'hui a été une victoire pour les Veks. Je crains que si nous perdons plus de terrain, Détritus et notre peuple pourraient être perdus."","
,Mission_Mechs_Dead,"Not currently used, but we'll need it","""Mes condoléances pour la perte de vos pilotes... ils se sont bien battus. Nous nous souviendrons d'eux."",

""Sachez que la Corporation Archive pleure la perte de vos pilotes. Nous savons que vous vous mettez en danger pour nous."",","""Cette bataille n'est pas déterminante dans notre guerre - mais d'autres comme celle-ci, pourraient l'être. Nous ne pouvons pas nous permettre d'en perdre d'autres."",

""La bataille est perdue mais pas la guerre - cependant nous ne pouvons pas continuer à perdre du terrain. Vous devez vous concentrer."",
","""Vos pilotes sont le c?ur de votre machine de guerre. Sans eux, vous n'avez aucune chance.""","""J'ai demandé que les noms de vos pilotes tombés au combat soient ajoutés à notre mur commémoratif. Leur sacrifice ne sera pas oublié."",

""Les Mechs de #squad sont puissants, mais je crains qu'ils ne soient pas assez nombreux pour les piloter."","
,,,,,,
Generic Objectives,,"Some missions use generic objectives, so the CEO can pull from these lists to address those objectives ",,,,
,Mission_MechHealth_Briefing,This bonus objective is for limiting damage to the Mechs themselves.,"""Notre équipement et les ressources pour réparer votre Mechs sont limités - essayez d'encaisser un minimum de dégâts."",
","""Nous pouvons à peine faire fonctionner nos villes, et encore moins réparer vos Mechs s'ils sont endommagés. Choisissez vos tirs avec soin."",

""Ce n'est pas Pinnacle ici - nous n'avons pas assez d'équipes d'ingénieurs pour réparer vos Mechs s'ils subissent des dégâts importants."",","""Il y aura peu de temps entre les escarmouches et nous avons besoin de vous et vos Mechs pleinement opérationnels. Faites preuve de prudence."",

""Nos équipes de réparation robotisées sont hors service. Il sera difficile de vous assister pour la réparation de vos Mechs avant le prochain combat. Essayez de gardez ça en tête."",","""Malheureusement, la majeure partie de notre division d'ingénierie est occupée. Si #squad subissent trop de dégâts, nous ne pourrons peut-être pas les réparer."",

""Nous n'avons aucun personnel pour réparer vos Mechs s'ils sont endommagés. S'il vous plaît, faites ce que vous pouvez pour encaisser un minimum de dégâts."","
,Mission_MechHealth_Success,< 4 damage to mechs,"""Vos Mechs semblent presque intacts ! C'est un soulagement... cela nous permettra d'affecter nos équipes de réparation pour renforcer les abris des réfugiés."",

""Vos Mechs sont à peine égratignés ! Cela nous permettra d'affecter nos équipes de réparation aux urgences dans d'autres régions."",","""Je vois que vous et #squad ont survécu au pire et réussi à subsister. Excellent."",

""Les équipes de réparation me rapportent que vos Mechs ont à peine quelques égratignures - bien négocié. Nous pouvons réaffecter les équipes de contrôle des dommages à la sécurité civile et à la protection de la ville."",

""Vos Mechs n'ont presque pas subi de dégâts. Cela signifie que nous pouvons allouer des ressources supplémentaires et des équipes de réparation pour aider les centres de réfugiés ailleurs sur R.S.T."",
","""Votre capacité à vaincre les Veks avec un minimum de dégâts sur les Mechs est admirable. Si seulement tous les humains pouvaient montrer une telle préoccupation pour leurs homologues artificiels."",","""Un Succès - et seulement des dégâts mineurs sur vos Mechs, Commandant, enfin... des dégâts réparables par Détritus."",

""Vos Mechs n'ont subi que des dégâts mineurs, mes ingénieurs sont certains qu'ils peuvent remettre #squad rapidement sur le terrain."","
,Mission_MechHealth_Failure,>= 4 damage to mechs,"""On me dit que nous devrons réassigner trois équipes d'ingénieurs pour réparer vos Mechs. Je vous avais déjà dit que nos équipes d'ingénieurs avaient déjà assez de travail comme ça..."",","""Vos Mechs sont lourdement endommagés, plusieurs équipes d'ingénieurs ont été réassignées pour les réparer en ce moment même, même les équipes dédiées à la sécurité civile."",

""Les dégâts causés à vos Mechs sont importants - nous devrons appeler les équipes de réparation des centres villes si nous voulons rester affutés. Et nous le devons impérativement."",

""Vos Mechs sont tellement déchiquetés qu'ils sont prêts pour la casse. Il faudra que nos équipes de réparation travaillent deux fois plus dur pour les remettre en état de combattre !"",

""Nous avons dû rappeler des ingénieurs des centres de réfugiés pour réparer les dégâts causés à #squad. Ne laissez pas cela se reproduire."",

","""Ne laissez pas la coque renforcée de votre Mech vous conduire à de l'auto-satisfaction. Réparer son exosquelette est un processus lourd en matériaux avec un coût considérable."",

""Il semble que vous êtes prêt à risquer vos Mechs et leurs pilotes. Les deux sont nécessaires dans la guerre à venir. S'il vous plaît, soyez plus prudent."",","""Je n'ai eu d'autre choix que d'assigner toutes les divisions d'ingénierie d'urgence pour réparer votre Mechs. Cela compromettra sérieusement les efforts de défense de Détritus."",

""Nos équipes de réparation rapportent - ah, je cite... 'il y a plus de métal déchiqueté que de Mech' et concluent avec un rapport plutôt pessimiste des chances de réparation."",

""Nos pilotes rapportent que #squad sont tellement endommagés qu'ils ne rentrent quasiment pas dans les baies d'amarrage. Nous devrons affecter du personnel supplémentaire pour les réparations."","
,,,,,,
,Mission_GridHealth_Briefing,Bonus objective for keeping power grid damage to a minimum,"""Les anciennes centrales électriques de cette île peuvent à peine répondre aux besoins de vos Mechs. S'il vous plaît essayez d'éviter tout dommage sur le Réseau !"",","""Le Réseau ici peut à peine alimenter vos Mechs. Combattez efficacement, ou vous serez dans le rouge plus vite que vous ne le pensez."",","""Nos noyaux de réacteurs sont gelés comme tout le reste. Nous ne pouvons pas économiser de l'énergie supplémentaire. Faites de la protection du Réseau une priorité."",


""Ma puissance de sortie dans cette région est... <Connection Perdue>... <Puissance Réseau Faible>"",","""Le Réseau ici ne peut fournir qu'une puissance limitée. S'il subit des dégâts, vous et #squad n'auront peut-être pas assez de puissance pour combattre."",

""Le Réseau ici n'a jamais été destiné à alimenter du matériels comme vos Mechs. Nous avons, néanmoins, réussi à le faire fonctionner, mais à peine - minimisez les dégâts sur le Réseau tant que vous le pouvez."","
,Mission_GridHealth_Success,< 3 grid damage,,"""On dirait que le Réseau a tenu - grâce à votre gestion habile du combat. Nous avons besoin de tout le pouvoir dont nous disposons pour la guerre."",","""Tout fonctionne à un rendement optimal. Je vous remercie."",","""Le Réseau maintenu, Commandant. Le secteur a toujours le pouvoir. Détritus vous remercie vous et #squad."",

""L'alimentation du Réseau a été ininterrompue. Vous avez combattu de façon conservatrice et efficace, louable."","
,Mission_GridHealth_Failure,>= 3 grid damage,"""Les Veks sont partis, mais les rapports sur les pertes arrivent toujours. Et nous n'avons même pas commencé à évaluer les dommages causés à l'infrastructure de l'île."", 

""Les Veks ont causé d'énormes dégâts dans la région malgré vos efforts. Nous devrons peut-être réexaminer nos tactiques."",","""Beaucoup de vies ont été perdues aujourd'hui... si cela continue, il n'y aura plus de gens à protéger."", 

""Le Réseau a subi des dégâts considérables, et les pertes... inacceptables. J'ai besoin de vous pour protéger mon peuple, ne les laisser pas se faire massacrer !"",

""Êtes-vous venu du futur pour nous ruiner ? Le Réseau est endommagée, nous n'avons aucune idée si nous pouvons le réparer - et les rapports des victimes ? Ils arrivent toujours."",
","""Avec autant de dégâts sur le Réseau d'Énergie, des frères mécaniques supplémentaires doivent s'arrêter. D'autres sont endommagés de manière permanente et ne peuvent pas être réactivés."", ","""Le Réseau a subi trop de dégâts durant le combats, Commandant. Détritus devra réévaluer ses chances de survie dans la région."",

""Le Réseau s'est effondré. Nous devrons rediriger la puissance des secteurs de Détritus déjà en difficulté pour garder l'île intacte."",

""Je sais que vous avez fait de votre mieux avec le peu que le Réseau pouvait fournir, Commandant. C'était une maigre chance, mais nous avons dû le prendre."","
,,,,,,
